Designator,Footprint,Quantity,Value,LCSC Part #
SW12,SW_Cherry_MX_1.00u_PCB,1,SW_Push,
SW7,SW_Cherry_MX_1.00u_PCB,1,SW_Push,
SW11,SW_Cherry_MX_1.00u_PCB,1,SW_Push,
SW15,SW_Cherry_MX_1.00u_PCB,1,SW_Push,
SW3,SW_Cherry_MX_1.00u_PCB,1,SW_Push,
SW13,SW_Cherry_MX_1.00u_PCB,1,SW_Push,
SW1,SW_Cherry_MX_1.00u_PCB,1,SW_Push,
SW10,SW_Cherry_MX_2.00u_Vertical_PCB,1,SW_Push,
SW2,SW_Cherry_MX_1.00u_PCB,1,SW_Push,
SW18,PinSocket_1x03_P2.54mm_Vertical,1,SW_DPDT_x2,
SW8,SW_Cherry_MX_2.00u_PCB,1,SW_Push,
BT1,BatteryHolder_Keystone_2460_1xAA,1,Battery,
SW6,SW_Cherry_MX_1.00u_PCB,1,SW_Push,
SW9,SW_Cherry_MX_2.00u_Vertical_PCB,1,SW_Push,
BT2,BatteryHolder_Keystone_2460_1xAA,1,Battery,
SW14,SW_Cherry_MX_1.00u_PCB,1,SW_Push,
J2,128x64OLED,1,Conn_01x04_MountingPin,
SW17,SW_Cherry_MX_1.00u_PCB,1,SW_Push,
SW5,SW_Cherry_MX_1.00u_PCB,1,SW_Push,
J1,128x64OLED,1,Conn_01x04_MountingPin,
SW16,SW_Cherry_MX_1.00u_PCB,1,SW_Push,
SW4,SW_Cherry_MX_1.00u_PCB,1,SW_Push,
U1,RPi_Pico_SMD_TH,1,Pico,
